index,open,close,high,low
0.0,179.8,179.66,180.54,177.81
1.0,184.66,182.78,185.71,182.55
2.0,185.22,186.6,188.0,184.7
3.0,183.52,183.09,184.349,180.2839
4.0,186.93,189.0,190.9,186.76
5.0,189.91,190.08,192.4689,188.84
6.0,186.27,190.92,191.75,186.02
7.0,186.41,188.66,189.7,185.41
8.0,187.71,185.72,189.48,182.85
9.0,197.419,197.18,198.85,192.77
10.0,200.4,200.72,201.68,196.66
11.0,201.9,202.9,205.34,201.75
12.0,205.88,202.86,207.4175,200.825
13.0,204.29,208.48,208.84,203.5
14.0,210.89,211.75,211.84,210.23
15.0,209.84,209.15,212.65,208.13
16.0,209.88,210.52,215.31,209.23
17.0,203.06,200.67,203.4,199.11
18.0,204.4,204.61,205.97,203.86
19.0,204.9,204.3,205.0,202.12
20.0,206.83,205.28,207.76,205.12
21.0,207.36,207.16,208.48,207.05
22.0,204.43,207.48,207.75,203.9
23.0,202.83,204.53,204.94,202.34
24.0,203.12,203.86,204.15,202.52
25.0,199.54,203.13,203.38,198.61
26.0,199.46,199.25,201.37,198.56
27.0,198.58,199.23,199.85,198.01
28.0,199.2,198.87,200.14,196.21
29.0,200.85,198.95,201.0,198.4431
30.0,198.68,200.62,200.74,198.18
31.0,200.32,199.5,202.85,199.23
32.0,196.42,200.1,200.23,196.34
33.0,196.45,197.0,197.1,195.93
34.0,194.79,195.69,196.37,193.14
35.0,193.25,195.35,196.5,193.15
36.0,191.09,194.02,194.46,191.05
37.0,191.64,191.24,191.68,188.38
38.0,189.83,189.95,190.08,188.54
39.0,188.95,188.72,189.559,187.53
40.0,188.75,188.47,189.76,186.55
41.0,191.664,186.79,192.88,184.58
42.0,191.51,188.74,191.98,186.6
43.0,195.34,191.05,197.69,190.78
44.0,190.02,195.09,196.33,189.81
45.0,186.23,188.16,189.49,184.73
46.0,188.35,186.53,188.99,185.92
47.0,185.8,188.02,188.39,185.79
48.0,184.85,186.12,187.33,183.74
49.0,183.9,183.73,184.1,182.56
50.0,182.25,181.71,183.3,180.92
51.0,180.0,180.91,182.67,179.37
52.0,175.49,178.9,179.12,175.35
53.0,170.32,172.91,173.07,169.5
54.0,173.87,172.5,174.44,172.02
55.0,174.67,174.52,175.49,173.94
56.0,175.94,175.53,176.0,174.54
57.0,175.69,175.85,177.75,173.97
58.0,174.28,174.97,175.15,172.89
59.0,174.32,173.15,174.91,172.92
60.0,173.21,174.87,175.0,172.73
61.0,173.71,174.33,175.3,173.1732
62.0,174.16,174.23,175.87,173.95
63.0,171.58,172.97,173.0,171.38
64.0,171.8,171.06,172.37,170.3
65.0,171.19,172.03,173.32,170.99
66.0,169.71,170.93,171.44,169.49
67.0,171.25,170.42,171.7,169.75
68.0,169.71,170.8,171.2615,169.38
69.0,171.39,170.18,172.48,169.92
70.0,170.1,170.89,171.0,169.7
71.0,171.05,169.43,171.21,169.25
72.0,168.99,170.41,170.66,168.42
73.0,172.4,170.94,173.94,170.34
74.0,174.65,174.24,175.57,172.8531
75.0,172.86,174.18,175.08,172.3501
76.0,167.41,171.25,171.655,167.28
77.0,166.96,166.52,168.98,165.93
78.0,166.11,166.44,169.0,164.56
79.0,163.25,165.25,166.15,160.23
80.0,156.25,154.68,158.13,154.11
81.0,155.79,156.3,156.33,153.66
82.0,155.48,157.76,158.13,154.32
83.0,154.11,152.7,154.48,151.74
84.0,154.15,153.92,155.14,151.7
85.0,156.41,153.3,156.73,152.62
86.0,157.5,156.82,157.88,155.9806
87.0,154.2,155.86,157.66,153.26
88.0,153.08,154.94,155.88,153.0
89.0,150.27,153.07,153.39,150.05
90.0,150.85,150.0,151.27,149.22
91.0,152.88,152.29,153.7,151.51
92.0,152.5,153.8,153.97,150.86
93.0,151.29,153.31,154.53,149.63
94.0,149.56,150.75,151.82,148.52
95.0,148.7,147.93,148.83,145.9
96.0,144.53,148.26,148.5499,143.8
97.0,143.98,142.19,145.72,142.0
98.0,154.89,157.92,158.85,154.23
99.0,158.53,157.74,159.36,156.48
100.0,157.5,156.23,158.52,154.55
101.0,155.84,156.15,156.77,150.07
102.0,148.3,157.17,157.23,146.72
103.0,148.15,146.83,151.55,146.59
104.0,156.86,150.73,158.16,149.63
105.0,160.4,156.83,162.11,155.3
106.0,166.0,160.89,167.45,159.09
107.0,165.38,166.07,167.53,164.39
108.0,165.45,163.94,168.35,162.73
109.0,169.0,165.48,169.08,165.28
110.0,170.49,170.95,172.57,169.55
111.0,170.4,169.1,171.92,169.02
112.0,171.66,168.63,171.79,167.0
113.0,165.0,169.6,170.09,163.33
114.0,173.49,168.49,174.49,168.3
115.0,171.76,174.72,174.78,170.42
116.0,180.95,176.69,182.3899,176.27
117.0,184.46,184.82,184.94,181.21
118.0,180.29,178.58,180.33,177.03
119.0,182.66,179.55,182.8,177.7
120.0,176.73,180.94,181.29,174.93
121.0,171.51,174.24,174.77,170.88
122.0,174.24,174.62,174.95,170.26
123.0,174.94,172.29,176.595,172.1
124.0,179.73,176.78,180.27,176.55
125.0,178.37,176.98,181.47,175.51
126.0,190.0,185.86,190.7,184.99
127.0,190.5,193.53,194.9695,189.46
128.0,188.39,191.41,191.97,186.9
129.0,193.9,186.8,194.48,185.93
130.0,191.63,192.23,197.18,191.4501
131.0,199.0,194.17,199.85,193.79
132.0,205.55,204.47,206.01,202.25
133.0,209.98,208.49,210.12,206.75
134.0,205.97,209.95,210.06,204.13
135.0,201.92,203.77,204.72,201.69
136.0,204.3,201.59,204.39,198.17
137.0,209.55,207.48,213.65,205.43
